scientific_name,common_name,family,state,data_sources,flower_Jan,flower_Feb,flower_Mar,flower_Apr,flower_May,flower_Jun,flower_Jul,flower_Aug,flower_Sep,flower_Oct,flower_Nov,flower_Dec,seed_Jan,seed_Feb,seed_Mar,seed_Apr,seed_May,seed_Jun,seed_Jul,seed_Aug,seed_Sep,seed_Oct,seed_Nov,seed_Dec
Chrysitrix distigmatosa C.B.Clarke ex Diels & E.Pritz.,,Cyperaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum (Labill.) Steetz subsp. apiculatum,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum (Labill.) Steetz,,Asteraceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. curvifolium (Domin) Paul G.Wilson,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. gracile Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. racemosum (J.M.Black) Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. ramosissimum (Hook.) Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. semiamplexicaule (Domin) Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum apiculatum subsp. stoloniferum Paul G.Wilson,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum baxteri (A.Cunn. ex DC.) Anderb.,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum eremaeum (Haegi) Anderb.,,Asteraceae,Australia,austraits,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum gilesii (F.Muell.) Paul G.Wilson,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum pterochaetum F.Muell.,,Asteraceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum puteale (S.Moore) Paul G.Wilson,,Asteraceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum semipapposum (Labill.) Steetz subsp. semipapposum,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum semipapposum (Labill.) Steetz,,Asteraceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum semipapposum subsp. asperum (Steetz) Paul G.Wilson,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum semipapposum subsp. brevifolium (Sond.) Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum semipapposum subsp. lineare Paul G.Wilson,,Asteraceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysocephalum vitellinum Sond. & F.Muell.,,Asteraceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon benthamianus Henrard,,Poaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon elongatus (R.Br.) Benth.,,Poaceae,Australia,austraits,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon fallax S.T.Blake,,Poaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon filipes (Benth.) Reeder,,Poaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon latifolius S.T.Blake,,Poaceae,Australia,austraits,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon oliganthus Veldkamp,,Poaceae,Australia,austraits,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon pallidus (R.Br.) Trin. ex Steud.,,Poaceae,Australia,austraits,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon rigidus (B.K.Simon) Veldkamp,,Poaceae,Australia,austraits,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon setifolius Stapf,,Poaceae,Australia,austraits,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chrysopogon sylvaticus C.E.Hubb.,,Poaceae,Australia,austraits,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus muellerianus P.S.Short,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus multiceps J.H.Willis,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus oldfieldianus P.S.Short,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus pseudevax Steetz,,Asteraceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus spathulatus P.S.Short,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus tomentellus (F.Muell.) Benth.,,Asteraceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chthonocephalus viscosus P.S.Short,,Asteraceae,Australia,austraits,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chukrasia tabularis A.Juss.,,Meliaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cicendia filiformis (L.) Delarbre,,Gentianaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cicendia quadrangularis (Dombey ex Lam.) Griseb.,,Gentianaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cicer arietinum L.,,Fabaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cichorium intybus L.,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cineraria lyratiformis Cron,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cinnamomum baileyanum (F.Muell. ex F.M.Bailey) W.D.Francis,,Lauraceae,Australia,austraits,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cinnamomum camphora (L.) J.Presl,,Lauraceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
Cinnamomum laubatii F.Muell.,,Lauraceae,Australia,austraits,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Cinnamomum oliveri F.M.Bailey,,Lauraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Cinnamomum propinquum F.M.Bailey,,Lauraceae,Australia,austraits,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cinnamomum virens R.T.Baker,,Lauraceae,Australia,austraits,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Cirsium arvense (L.) Scop.,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cirsium vulgare (Savi) Ten.,,Asteraceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
Cissampelos pareira L.,,Menispermaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Cissampelos pareira var. hirsuta (Buch.-Ham. ex DC.) Forman,,Menispermaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cissus adnata Roxb.,,Vitaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1
Cissus antarctica Vent.,,Vitaceae,Australia,austraits,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Cissus cardiophylla (F.Muell.) Jackes,,Vitaceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Cissus hastata Miq.,,Vitaceae,Australia,austraits,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
Cissus hypoglauca A.Gray,,Vitaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Cissus oblonga (Benth.) Planch.,,Vitaceae,Australia,austraits,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
Cissus penninervis (F.Muell.) Planch.,,Vitaceae,Australia,austraits,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Cissus pentaclada Jackes,,Vitaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Cissus reniformis Domin,,Vitaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1
Cissus repens Lam.,,Vitaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
Cissus sterculiifolia (F.Muell. ex Benth.) Planch.,,Vitaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Cissus vinosa Jackes,,Vitaceae,Australia,austraits,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
Cistus creticus L.,,Cistaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus inflatus Pourr. ex Demoly,,Cistaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus monspeliensis L.,,Cistaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cistus salviifolius L.,,Cistaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citronella moorei (F.Muell. ex Benth.) R.A.Howard,,Icacinaceae,Australia,austraits,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Citronella smythii (F.Muell.) R.A.Howard,,Icacinaceae,Australia,austraits,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Citrullus amarus Schrad.,,Cucurbitaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrullus colocynthis (L.) Schrad.,,Cucurbitaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus australasica F.Muell.,,Rutaceae,Australia,austraits,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Citrus australis (A.Cunn. ex Mudie) Planch.,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus garrawayi F.M.Bailey,,Rutaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
Citrus glauca (Lindl.) Burkill,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus gracilis Mabb.,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus inodora F.M.Bailey,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
Citrus maxima (Burm. ex Rumph.) Merr.,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus reticulata Blanco,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus x aurantiifolia (Christm.) Swingle,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus x aurantium L.,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus x limon (L.) Osbeck,,Rutaceae,Australia,austraits,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Citrus x microcarpa Bunge,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrus x taitensis Risso,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladium mariscus (L.) Pohl,,Cyperaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladium procerum S.T.Blake,,Cyperaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cladopus queenslandicus (Domin) C.D.K.Cook & Rutish.,,Podostemaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claoxylon angustifolium Müll.Arg.,,Euphorbiaceae,Australia,austraits,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
Claoxylon australe Baill.,,Euphorbiaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Claoxylon hillii Benth.,,Euphorbiaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Claoxylon indicum (Reinw. ex Blume) Hassk.,,Euphorbiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claoxylon tenerifolium (F.Muell. ex Baill.) F.Muell. subsp. tenerifolium,,Euphorbiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claoxylon tenerifolium (F.Muell. ex Baill.) F.Muell.,,Euphorbiaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
Claoxylon tenerifolium subsp. boreale P.I.Forst.,,Euphorbiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausena brevistyla Oliv.,,Rutaceae,Australia,austraits,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
Clausena excavata Burm.f.,,Rutaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clausospicula extensa Lazarides,,Poaceae,Australia,austraits,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claytonia perfoliata Donn ex Willd. subsp. perfoliata,,Portulacaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claytonia perfoliata Donn ex Willd.,,Portulacaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleidion javanicum Blume,,Euphorbiaceae,Australia,austraits,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Cleistanthus apodus Benth.,,Phyllanthaceae,Australia,austraits,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Cleistanthus cunninghamii (Müll.Arg.) Müll.Arg.,,Phyllanthaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Cleistanthus dallachyanus (Baill.) Benth.,,Phyllanthaceae,Australia,austraits,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Cleistanthus discolor Summerh.,,Phyllanthaceae,Australia,austraits,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Cleistanthus hylandii Airy Shaw,,Phyllanthaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1
Cleistanthus myrianthus (Hassk.) Kurz,,Phyllanthaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0
Cleistanthus peninsularis Airy Shaw & B.Hyland,,Phyllanthaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Cleistanthus semiopacus F.Muell. ex Benth.,,Phyllanthaceae,Australia,austraits,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Cleistanthus xerophilus Domin,,Phyllanthaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Cleistochloa rigida (S.T.Blake) R.D.Webster,,Poaceae,Australia,austraits,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cleistochloa sclerachne (F.M.Bailey) C.E.Hubb.,,Poaceae,Australia,austraits,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleistochloa subjuncea C.E.Hubb.,,Poaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clematicissus angustissima (F.Muell.) Planch.,,Vitaceae,Australia,austraits,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clematicissus opaca (F.Muell.) Jackes & Rossetto,,Vitaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Clematis aristata R.Br. ex Ker Gawl.,,Ranunculaceae,Australia,austraits,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
Clematis clitorioides DC.,,Ranunculaceae,Australia,austraits,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
Clematis decipiens H.Eichler ex Jeanes,,Ranunculaceae,Australia,austraits,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
Clematis delicata H.Eichler ex W.T.Wang,,Ranunculaceae,Australia,austraits,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clematis fawcettii F.Muell.,,Ranunculaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clematis gentianoides DC.,,Ranunculaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1
Clematis glycinoides DC.,,Ranunculaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
Clematis leptophylla (F.Muell. ex Benth.) H.Eichler,,Ranunculaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clematis linearifolia Steud.,,Ranunculaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clematis microphylla DC.,,Ranunculaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Clematis pickeringii A.Gray,,Ranunculaceae,Australia,austraits,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
Clematis pubescens Hügel ex Endl.,,Ranunculaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleome aculeata L.,,Cleomaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleretum papulosum (L.f.) L.Bolus subsp. papulosum,,Aizoaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleretum papulosum (L.f.) L.Bolus,,Aizoaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum costatum R.Br.,,Lamiaceae,Australia,austraits,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Clerodendrum floribundum R.Br. var. floribundum,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum floribundum R.Br.,,Lamiaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Clerodendrum floribundum var. attenuatum (R.Br.) Moldenke,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum floribundum var. coriaceum (R.Br.) Moldenke,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum floribundum var. ovatum (R.Br.) Domin,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum grayi Munir,,Lamiaceae,Australia,austraits,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Clerodendrum heterophyllum (Vent.) R.Br.,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum inerme (L.) Gaertn.,,Lamiaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Clerodendrum longiflorum Decne.,,Lamiaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0
Clerodendrum longiflorum var. glabrum Munir,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum paniculatum L.,,Lamiaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1
Clerodendrum tatei (F.Muell.) Munir,,Lamiaceae,Australia,austraits,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum tomentosum (Vent.) R.Br. var. tomentosum,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum tomentosum (Vent.) R.Br.,,Lamiaceae,Australia,austraits,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
Clerodendrum tomentosum var. lanceolatum (F.Muell.) Munir,,Lamiaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum tracyanum (F.Muell.) Benth.,,Lamiaceae,Australia,austraits,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
Clitoria australis Benth.,,Fabaceae,Australia,austraits,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
Clitoria ternatea L.,,Fabaceae,Australia,austraits,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
Cnesmocarpon dasyantha (Radlk.) Adema,,Sapindaceae,Australia,austraits,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
Coatesia paniculata F.Muell.,,Rutaceae,Australia,austraits,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Cobaea scandens Cav.,,Polemoniaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coccinia grandis (L.) Voigt,,Cucurbitaceae,Australia,austraits,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cochlospermum arafuricum Cowie & R.A.Kerrigan,,Bixaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Cochlospermum fraseri Planch. subsp. fraseri,,Bixaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlospermum fraseri Planch.,,Bixaceae,Australia,austraits,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
Cochlospermum fraseri subsp. heteronemum (F.Muell.) Poppend.,,Bixaceae,Australia,austraits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochlospermum gillivraei Benth.,,Bixaceae,Australia,austraits,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1
Cochlospermum gregorii F.Muell.,,Bixaceae,Australia,austraits,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
